iter	MultiQuantile:alpha=0.005,,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,0.995
0	107.2407547
1	107.2259302
2	107.1300324
3	107.1165231
4	107.0360556
5	106.9713007
6	106.8850827
7	106.7703717
8	106.6663756
9	106.6026275
10	106.497749
11	106.401591
12	106.3242175
13	106.2299651
14	106.191452
15	106.0813536
16	106.0164464
17	105.9424256
18	105.8551415
19	105.7941526
20	105.7452157
21	105.6629499
22	105.5980423
23	105.5843643
24	105.5315355
25	105.4665711
26	105.3962637
27	105.2781146
28	105.2140572
29	105.1473311
30	105.0605109
31	105.0494875
32	104.9545514
33	104.8727518
34	104.8124354
35	104.7029061
36	104.6407089
37	104.6304336
38	104.5277571
39	104.5179492
40	104.463257
41	104.3534976
42	104.3065605
43	104.222526
44	104.1771536
45	104.1240594
46	104.0525369
47	103.9621489
48	103.8695939
49	103.8056967
50	103.7386602
51	103.7304075
52	103.7076046
53	103.699099
54	103.6585314
55	103.6113568
56	103.5211527
57	103.4344944
58	103.374474
59	103.3663014
60	103.3587515
61	103.3292978
62	103.2941931
63	103.276559
64	103.268402
65	103.2604701
66	103.1943445
67	103.1523025
68	103.1075282
69	103.0568082
70	103.0461196
71	102.9669331
72	102.8953613
73	102.8243056
74	102.7940685
75	102.7386512
76	102.6625391
77	102.5859053
78	102.5086036
79	102.4075741
80	102.3569566
81	102.2748506
82	102.2470301
83	102.2156271
84	102.1716094
85	102.1283935
86	102.0510479
87	101.9848813
88	101.9262296
89	101.8910017
90	101.8344162
91	101.8105023
92	101.7725658
93	101.766017
94	101.7433881
95	101.7224606
96	101.7158595
97	101.6639684
98	101.6251295
99	101.5491287
100	101.4944112
101	101.4842607
102	101.4371514
103	101.374218
104	101.3371925
105	101.273143
106	101.1897568
107	101.1724114
108	101.109928
109	101.0607089
110	101.0073001
111	100.9591625
112	100.9109375
113	100.8560658
114	100.8519437
115	100.8278073
116	100.7933177
117	100.7733181
118	100.7310988
119	100.6955831
120	100.6481827
121	100.5925891
122	100.5580545
123	100.523994
124	100.5014772
125	100.4836784
126	100.4319866
127	100.3883938
128	100.3834442
129	100.3174411
130	100.2666735
131	100.2620908
132	100.2576598
133	100.1996936
134	100.1474626
135	100.1112216
136	100.0375032
137	99.99801206
138	99.958493
139	99.93165307
140	99.8524667
141	99.81075298
142	99.78761664
143	99.73834085
144	99.69485033
145	99.64498023
146	99.64050694
147	99.60732965
148	99.55795163
149	99.50579251
150	99.45933242
151	99.45486481
152	99.41928674
153	99.37977923
154	99.28929684
155	99.23248213
156	99.21161533
157	99.15424216
158	99.1237057
159	99.10517865
160	99.07780857
161	99.03307856
162	99.00461693
163	98.97652825
164	98.95073465
165	98.9022429
166	98.88462885
167	98.85825248
168	98.80910496
169	98.77707287
170	98.71620749
171	98.68907645
172	98.62304864
173	98.58215882
174	98.5523788
175	98.48607573
176	98.47198828
177	98.44947001
178	98.43199174
179	98.39042852
180	98.35991722
181	98.32272089
182	98.29959819
183	98.26173012
184	98.22985797
185	98.1936191
186	98.16472308
187	98.13376897
188	98.06912642
189	98.02024933
190	97.99073636
191	97.92538998
192	97.87999516
193	97.85314134
194	97.82799732
195	97.77716864
196	97.75837689
197	97.71086595
198	97.69351466
199	97.6906873
200	97.64977549
201	97.60267679
202	97.55660207
203	97.50964015
204	97.46415313
205	97.40177949
206	97.35091422
207	97.32541706
208	97.29547282
209	97.28414059
210	97.24729182
211	97.21503483
212	97.16006322
213	97.11378593
214	97.08683665
215	97.04867492
216	97.00314605
217	96.9764599
218	96.94880658
219	96.92057541
220	96.89610437
221	96.8653974
222	96.85055043
223	96.7850664
224	96.74462386
225	96.7205455
226	96.70802506
227	96.67278909
228	96.62846773
229	96.59993396
230	96.57695529
231	96.54334285
232	96.50158391
233	96.45512667
234	96.40386752
235	96.36581599
236	96.34207774
237	96.33484594
238	96.28548114
239	96.23608613
240	96.18994537
241	96.13872077
242	96.10692652
243	96.08578027
244	96.04644516
245	96.01540784
246	95.9778474
247	95.95183178
248	95.93250117
249	95.91448689
250	95.90849767
251	95.89372516
252	95.8542333
253	95.82188445
254	95.79298023
255	95.756301
256	95.72770138
257	95.70112842
258	95.68150252
259	95.65082392
260	95.60482176
261	95.58982187
262	95.55893564
263	95.53604118
264	95.49638585
265	95.4729202
266	95.43191742
267	95.41046848
268	95.38088353
269	95.35015453
270	95.30782733
271	95.27585069
272	95.24803715
273	95.22803344
274	95.18276545
275	95.10852714
276	95.08043536
277	95.02904158
278	94.98258571
279	94.96046763
280	94.9264096
281	94.89624257
282	94.86947456
283	94.83028006
284	94.81444739
285	94.79321372
286	94.75344397
287	94.72256981
288	94.68395613
289	94.63950632
290	94.59560923
291	94.55524522
292	94.511937
293	94.47275672
294	94.45107002
295	94.43164011
296	94.38623548
297	94.36974104
298	94.32141652
299	94.28303637
300	94.26099232
301	94.24145632
302	94.20801141
303	94.18606454
304	94.16168741
305	94.12919634
306	94.07871578
307	94.05813607
308	94.0253275
309	93.99847114
310	93.95303747
311	93.93035934
312	93.87991481
313	93.83322583
314	93.81034311
315	93.77763368
316	93.7504278
317	93.72625916
318	93.68076186
319	93.64086351
320	93.62965288
321	93.57819305
322	93.5415608
323	93.50355837
324	93.48203616
325	93.44584555
326	93.42144093
327	93.38139114
328	93.3542095
329	93.3215799
330	93.29387983
331	93.25565304
332	93.21420292
333	93.18974216
334	93.12999417
335	93.10421108
336	93.05762972
337	93.02422984
338	92.99183621
339	92.97737827
340	92.94037911
341	92.90797093
342	92.87401154
343	92.85083682
344	92.82215399
345	92.79297857
346	92.74853513
347	92.7242988
348	92.69844729
349	92.65711761
350	92.61389787
351	92.59499984
352	92.57053211
353	92.54021823
354	92.52473501
355	92.50466573
356	92.48952537
357	92.46664447
358	92.43491237
359	92.39065455
360	92.35255983
361	92.31763728
362	92.27856323
363	92.25834271
364	92.21639778
365	92.16885914
366	92.12767044
367	92.08542113
368	92.05943708
369	92.02578653
370	91.99674869
371	91.97296998
372	91.95427414
373	91.9262298
374	91.89635239
375	91.86875828
376	91.83556018
377	91.80258604
378	91.77302051
379	91.74624027
380	91.71201647
381	91.6969399
382	91.65379858
383	91.6160659
384	91.59262655
385	91.5767204
386	91.55385503
387	91.5294265
388	91.48988929
389	91.4554377
390	91.42959334
391	91.38890919
392	91.38171752
393	91.342155
394	91.29628366
395	91.26730945
396	91.23821118
397	91.20248325
398	91.16362182
399	91.15191901
400	91.12544053
401	91.09837615
402	91.06522632
403	91.03688205
404	90.98173626
405	90.96567142
406	90.9359852
407	90.89889442
408	90.87956012
409	90.84800053
410	90.82578659
411	90.79850655
412	90.7779637
413	90.76277019
414	90.74420176
415	90.72833588
416	90.70567953
417	90.68108602
418	90.6460339
419	90.61706964
420	90.60435653
421	90.59207907
422	90.55520855
423	90.54048749
424	90.50840033
425	90.48857757
426	90.472727
427	90.45659053
428	90.44270461
429	90.41681557
430	90.40062965
431	90.36968172
432	90.3573112
433	90.33854813
434	90.31241973
435	90.27414541
436	90.25332876
437	90.21853087
438	90.19322061
439	90.15325727
440	90.12255133
441	90.11177167
442	90.07358177
443	90.05177978
444	90.03181448
445	90.00538688
446	89.98219074
447	89.96789075
448	89.92698866
449	89.88991819
450	89.86377349
451	89.84939124
452	89.83502235
453	89.82176827
454	89.80271799
455	89.77884385
456	89.77050061
457	89.75263348
458	89.73093728
459	89.71378172
460	89.69205666
461	89.67239285
462	89.6557591
463	89.62813944
464	89.61450587
465	89.59848601
466	89.5658988
467	89.53855043
468	89.52817507
469	89.49688514
470	89.47975335
471	89.45143796
472	89.42389472
473	89.4123806
474	89.39578583
475	89.37084157
476	89.35688337
477	89.33699963
478	89.32922539
479	89.30280206
480	89.27976465
481	89.271322
482	89.25326949
483	89.22833008
484	89.2127454
485	89.20329014
486	89.19056688
487	89.16933945
488	89.16462428
489	89.15366834
490	89.12533451
491	89.10647582
492	89.09305362
493	89.07152965
