iter	Passed	Remaining
0	218	109082
1	325	81080
2	1081	179208
3	1193	147961
4	1761	174424
5	2360	194382
6	2984	210227
7	3698	227427
8	4508	245981
9	4855	237900
10	5695	253202
11	6439	261861
12	7083	265352
13	7853	272614
14	8218	265740
15	9021	272901
16	9621	273353
17	10291	275574
18	10885	275565
19	11383	273209
20	11835	269964
21	12507	271758
22	13108	271861
23	13280	263395
24	13645	259259
25	14283	260404
26	14864	260412
27	15837	266976
28	16574	269190
29	17092	267784
30	18040	272936
31	18148	265422
32	18870	267040
33	19636	269138
34	20031	266137
35	20967	270247
36	21614	270473
37	21725	264134
38	22653	267781
39	22766	261810
40	23407	262053
41	24107	262886
42	24580	261242
43	25431	263567
44	25976	262650
45	26616	262693
46	27291	263045
47	28256	266078
48	29167	268457
49	29701	267314
50	30519	268691
51	30626	263859
52	30944	260983
53	31061	256544
54	31526	255078
55	32032	253973
56	32959	256162
57	33852	257979
58	34267	256137
59	34381	252131
60	34490	248220
61	34914	246653
62	35358	245266
63	35661	242940
64	35774	239411
65	35884	235965
66	36435	235473
67	36900	234428
68	37362	233380
69	37820	232324
70	37980	229487
71	38642	229710
72	39324	230019
73	39810	229179
74	40092	227191
75	40694	227033
76	41449	227704
77	42053	227521
78	42756	227854
79	43499	228373
80	43916	227172
81	44789	228317
82	45130	226737
83	45455	225114
84	45939	224295
85	46282	222803
86	47136	223761
87	47713	223386
88	48613	224494
89	49107	223712
90	49761	223654
91	50137	222347
92	50727	222002
93	50827	219533
94	51085	217786
95	51435	216457
96	51535	214113
97	51954	213121
98	52416	212313
99	53109	212439
100	53820	212616
101	54021	210790
102	54582	210380
103	55147	209986
104	55587	209116
105	56408	209669
106	57189	210050
107	57491	208673
108	58061	208276
109	58500	207411
110	59218	207532
111	59702	206825
112	60218	206234
113	60895	206189
114	60996	204204
115	61290	202893
116	61680	201912
117	62011	200749
118	62474	200022
119	62935	199294
120	63589	199177
121	64403	199545
122	64820	198676
123	65366	198207
124	65659	196979
125	65934	195710
126	66535	195415
127	67078	194947
128	67187	193229
129	67922	193319
130	68460	192838
131	68575	191179
132	68687	189537
133	69394	189541
134	70073	189458
135	70508	188712
136	71360	189079
137	71988	188839
138	72583	188507
139	72970	187638
140	73855	188043
141	74397	187566
142	74734	186574
143	75403	186414
144	76043	186174
145	76618	185773
146	76718	184229
147	77116	183411
148	77799	183272
149	78506	183182
150	79081	182777
151	79183	181288
152	79686	180725
153	80186	180159
154	80914	180099
155	81463	179638
156	81740	178579
157	82428	178420
158	82933	177862
159	83271	176952
160	83636	176103
161	84172	175619
162	84599	174908
163	85112	174377
164	85537	173667
165	86276	173592
166	86751	172983
167	87129	172185
168	87748	171862
169	88145	171106
170	88945	171129
171	89377	170441
172	90258	170603
173	90922	170348
174	91378	169702
175	92228	169784
176	92514	168825
177	92874	168008
178	93116	166984
179	93804	166763
180	94296	166191
181	94796	165632
182	95055	164659
183	95606	164194
184	96101	163632
185	96555	163002
186	96973	162313
187	97416	161670
188	98308	161766
189	98906	161374
190	99480	160939
191	100237	160797
192	100875	160459
193	101240	159688
194	101641	158978
195	102234	158568
196	102582	157778
197	103197	157401
198	103539	156609
199	103648	155473
200	104236	155057
201	104868	154707
202	105492	154341
203	106227	154134
204	106757	153626
205	107451	153353
206	108341	153353
207	108783	152714
208	109424	152356
209	109667	151446
210	110261	151022
211	110819	150546
212	111718	150531
213	112396	150212
214	112852	149594
215	113346	149029
216	114001	148674
217	114402	147988
218	114939	147478
219	115406	146880
220	115874	146284
221	116412	145777
222	116717	144980
223	117569	144862
224	118166	144425
225	118660	143862
226	118979	143089
227	119613	142696
228	120314	142381
229	120798	141806
230	121228	141170
231	121804	140704
232	122441	140308
233	123103	139938
234	123938	139760
235	124439	139203
236	124899	138601
237	125101	137716
238	125661	137229
239	126384	136916
240	127101	136594
241	127630	136068
242	128113	135494
243	128614	134939
244	129127	134398
245	129652	133868
246	130182	133344
247	130633	132740
248	131019	132071
249	131511	131511
250	131729	130679
251	132114	130017
252	132729	129581
253	133328	129129
254	133981	128727
255	134665	128353
256	135232	127866
257	135730	127313
258	136071	126614
259	136683	126169
260	137496	125906
261	137908	125275
262	138509	124816
263	138924	124189
264	139634	123826
265	140170	123308
266	140952	123003
267	141447	122447
268	142063	121994
269	142512	121399
270	143055	120884
271	143652	120414
272	144246	119941
273	144712	119361
274	145456	119009
275	146263	118706
276	146749	118141
277	147434	117735
278	148140	117344
279	148566	116730
280	149088	116193
281	149740	115756
282	150264	115220
283	150929	114791
284	151362	114185
285	151800	113584
286	152317	113043
287	152788	112469
288	153313	111934
289	154108	111595
290	154771	111158
291	155572	110819
292	156297	110421
293	156856	109906
294	157438	109406
295	157943	108852
296	158543	108364
297	158872	107692
298	159706	107361
299	160343	106895
300	160761	106284
301	161222	105702
302	161779	105183
303	162240	104602
304	162700	104021
305	163247	103496
306	163898	103037
307	164323	102435
308	164961	101966
309	165512	101443
310	166147	100970
311	166622	100400
312	167414	100020
313	168089	99568
314	168481	98949
315	169164	98500
316	169707	97969
317	170202	97411
318	170855	96942
319	171592	96520
320	171969	95895
321	172821	95534
322	173344	94990
323	173834	94428
324	174236	93819
325	174778	93286
326	175259	92721
327	175906	92243
328	176474	91723
329	177064	91215
330	177570	90663
331	178127	90136
332	178817	89677
333	179288	89107
334	180189	88750
335	180619	88159
336	181316	87699
337	181916	87190
338	182584	86714
339	182914	86077
340	183540	85580
341	184134	85067
342	184729	84555
343	185363	84060
344	185878	83510
345	186392	82960
346	187130	82510
347	187586	81934
348	188159	81409
349	188837	80930
350	189546	80462
351	190085	79922
352	190593	79368
353	191205	78858
354	191619	78267
355	192126	77714
356	192484	77101
357	192936	76527
358	193478	75990
359	194211	75526
360	194979	75075
361	195693	74601
362	196374	74113
363	196775	73520
364	197454	73031
365	198318	72608
366	199531	72309
367	200773	72016
368	201621	71578
369	202674	71209
370	203596	70792
371	204309	70300
372	204924	69773
373	205746	69315
374	206338	68779
375	206926	68241
376	207526	67707
377	208121	67171
378	208708	66632
379	209253	66080
380	210105	65623
381	210421	64999
382	211084	64482
383	211645	63934
384	212121	63360
385	212525	62766
386	213054	62209
387	213716	61691
388	214340	61161
389	215306	60727
390	216057	60230
391	217110	59816
392	217467	59208
393	218626	58818
394	219888	58451
395	220777	57981
396	221685	57515
397	222846	57111
398	223577	56594
399	224192	56048
400	224917	55528
401	225761	55036
402	226779	54584
403	227770	54123
404	229106	53741
405	229714	53185
406	230649	52703
407	231686	52243
408	232408	51709
409	233303	51212
410	234128	50699
411	234916	50176
412	235608	49631
413	236134	49052
414	236770	48495
415	237496	47956
416	238298	47431
417	239011	46887
418	239871	46371
419	240581	45824
420	241093	45240
421	241652	44665
422	242625	44165
423	243103	43575
424	243617	42991
425	244344	42444
426	244903	41868
427	245443	41289
428	245957	40706
429	246685	40158
430	247282	39588
431	248073	39048
432	248632	38472
433	249367	37922
434	250150	37378
435	251007	36845
436	251681	36283
437	252545	35748
438	253332	35201
439	254243	34669
440	255254	34149
441	255792	33565
442	256642	33021
443	257353	32459
444	258064	31895
445	258909	31347
446	259653	30786
447	260169	30198
448	261199	29668
449	262164	29129
450	262974	28571
451	263485	27980
452	264123	27403
453	264721	26822
454	265405	26248
455	266114	25677
456	266628	25087
457	267414	24522
458	268101	23948
459	268819	23375
460	269464	22796
461	270121	22217
462	270485	21615
463	271064	21030
464	271410	20428
465	271867	19835
466	272425	19250
467	272920	18661
468	273230	18059
469	273829	17478
470	274289	16888
471	274856	16305
472	275408	15720
473	275784	15127
474	276244	14539
475	276672	13949
476	277052	13358
477	277467	12770
478	277776	12178
479	278296	11595
480	278608	11005
481	278886	10414
482	279274	9829
483	279704	9246
484	280100	8662
485	280413	8077
486	280750	7494
487	281282	6916
488	281615	6334
489	282055	5756
490	282899	5185
491	283625	4611
492	284206	4035
493	284955	3460
